0.00	0.0202	2.5000	-0.0049	0.0066	0.4152	1.9240	0.9999	
0.50	0.0301	2.4999	0.0148	0.0067	0.4231	1.9294	0.9999	
1.00	0.0396	2.5003	0.0538	0.0069	0.4311	1.9348	0.9999	
1.50	0.0480	2.5001	-0.0722	0.0070	0.4400	1.9401	0.9999	
2.00	0.0558	2.4989	-0.1858	0.0072	0.4494	1.9453	0.9999	
2.50	0.0630	2.4974	-0.1473	0.0073	0.4592	1.9504	0.9998	
3.00	0.0694	2.4957	-0.2235	0.0075	0.4695	1.9555	0.9998	
3.50	0.0751	2.4937	-0.2972	0.0077	0.4806	1.9604	0.9997	
4.00	0.0799	2.4914	-0.4134	0.0079	0.4925	1.9652	0.9996	
4.50	0.0840	2.4885	-0.4503	0.0081	0.5049	1.9700	0.9995	
5.00	0.0874	2.4853	-0.6655	0.0083	0.5180	1.9746	0.9993	
5.50	0.0894	2.4824	-0.7589	0.0085	0.5327	1.9790	0.9990	
6.00	0.0911	2.4795	-0.7829	0.0088	0.5475	1.9834	0.9986	
6.50	0.0930	2.4760	-0.8240	0.0090	0.5618	1.9876	0.9980	
7.00	0.0945	2.4724	-0.8142	0.0092	0.5764	1.9917	0.9973	
7.50	0.0963	2.4687	-0.7374	0.0095	0.5903	1.9956	0.9964	
8.00	0.0976	2.4657	-0.8708	0.0097	0.6027	1.9994	0.9953	
8.50	0.0981	2.4628	-0.7762	0.0099	0.6135	2.0031	0.9938	
9.00	0.1006	2.4606	0.2911	0.0100	0.6207	2.0068	0.9928	
9.50	0.1042	2.4582	0.2437	0.0101	0.6252	2.0103	0.9923	
10.00	0.1083	2.4556	0.3053	0.0101	0.6288	2.0139	0.9918	
10.50	0.1114	2.4530	0.2738	0.0102	0.6338	2.0174	0.9909	
11.00	0.1145	2.4504	1.0545	0.0103	0.6385	2.0208	0.9898	
11.50	0.1188	2.4483	1.1159	0.0103	0.6413	2.0243	0.9892	
12.00	0.1227	2.4465	1.1693	0.0104	0.6445	2.0276	0.9882	
12.50	0.1266	2.4448	1.2179	0.0104	0.6477	2.0310	0.9870	
13.00	0.1306	2.4430	1.1403	0.0105	0.6506	2.0343	0.9856	
13.50	0.1348	2.4414	1.2286	0.0105	0.6531	2.0376	0.9838	
14.00	0.1387	2.4402	1.4264	0.0106	0.6558	2.0409	0.9816	
14.50	0.1431	2.4390	1.4210	0.0106	0.6577	2.0442	0.9793	
15.00	0.1472	2.4386	1.5216	0.0106	0.6599	2.0474	0.9764	
15.50	0.1514	2.4395	1.2716	0.0107	0.6621	2.0506	0.9743	
16.00	0.1556	2.4408	1.2430	0.0107	0.6641	2.0538	0.9728	
16.50	0.1592	2.4420	1.2818	0.0108	0.6672	2.0570	0.9705	
17.00	0.1627	2.4430	1.2542	0.0108	0.6703	2.0601	0.9682	
17.50	0.1658	2.4438	1.3305	0.0109	0.6739	2.0633	0.9660	
18.00	0.1688	2.4445	1.3554	0.0109	0.6777	2.0663	0.9636	
18.50	0.1721	2.4446	1.2882	0.0110	0.6811	2.0694	0.9621	
19.00	0.1760	2.4452	1.3307	0.0110	0.6834	2.0724	0.9605	
19.50	0.1809	2.4456	1.2302	0.0110	0.6840	2.0754	0.9598	
20.00	0.1863	2.4448	1.2251	0.0110	0.6836	2.0784	0.9603	
20.50	0.1923	2.4443	1.3386	0.0110	0.6824	2.0814	0.9617	
21.00	0.1983	2.4441	1.3801	0.0110	0.6812	2.0844	0.9632	
21.50	0.2043	2.4443	1.4625	0.0110	0.6800	2.0874	0.9647	
22.00	0.2099	2.4449	1.4943	0.0110	0.6796	2.0905	0.9658	
22.50	0.2149	2.4456	1.6166	0.0110	0.6801	2.0935	0.9663	
23.00	0.2185	2.4462	1.6737	0.0110	0.6830	2.0966	0.9656	
23.50	0.2220	2.4468	1.6727	0.0111	0.6859	2.0995	0.9644	
24.00	0.2258	2.4471	1.6105	0.0111	0.6883	2.1025	0.9634	
24.50	0.2295	2.4474	1.5265	0.0112	0.6907	2.1055	0.9616	
25.00	0.2332	2.4473	1.5472	0.0112	0.6931	2.1084	0.9594	
25.50	0.2369	2.4468	1.5793	0.0112	0.6953	2.1113	0.9564	
26.00	0.2402	2.4461	1.4417	0.0113	0.6981	2.1142	0.9521	
26.50	0.2428	2.4449	1.4743	0.0113	0.7019	2.1170	0.9467	
27.00	0.2458	2.4439	1.5015	0.0114	0.7047	2.1198	0.9413	
27.50	0.2487	2.4437	1.4288	0.0114	0.7076	2.1226	0.9361	
28.00	0.2509	2.4428	1.4001	0.0115	0.7116	2.1254	0.9294	
28.50	0.2537	2.4415	1.4279	0.0116	0.7140	2.1281	0.9252	
29.00	0.2571	2.4406	1.3623	0.0116	0.7158	2.1308	0.9212	
29.50	0.2601	2.4406	1.3094	0.0116	0.7186	2.1335	0.9176	
30.00	0.2638	2.4408	1.5647	0.0117	0.7199	2.1361	0.9164	
30.50	0.2677	2.4411	1.6061	0.0117	0.7207	2.1388	0.9135	
31.00	0.2721	2.4409	1.6350	0.0117	0.7207	2.1414	0.9115	
31.50	0.2764	2.4407	1.8514	0.0117	0.7208	2.1441	0.9095	
32.00	0.2811	2.4412	1.8623	0.0117	0.7200	2.1467	0.9099	
32.50	0.2855	2.4424	1.6550	0.0117	0.7194	2.1494	0.9088	
33.00	0.2901	2.4438	1.6870	0.0116	0.7186	2.1520	0.9080	
33.50	0.2948	2.4447	1.6664	0.0116	0.7175	2.1547	0.9066	
34.00	0.2988	2.4459	1.8119	0.0116	0.7177	2.1574	0.9022	
34.50	0.3023	2.4465	1.8283	0.0116	0.7187	2.1600	0.8962	
35.00	0.3055	2.4476	1.7731	0.0117	0.7201	2.1627	0.8899	
35.50	0.3088	2.4488	1.9411	0.0117	0.7213	2.1653	0.8845	
36.00	0.3124	2.4497	1.9689	0.0117	0.7222	2.1679	0.8805	
36.50	0.3168	2.4500	2.0278	0.0117	0.7216	2.1705	0.8817	
37.00	0.3223	2.4497	1.8986	0.0117	0.7188	2.1732	0.8881	
37.50	0.3284	2.4492	1.8991	0.0116	0.7150	2.1759	0.8961	
38.00	0.3344	2.4490	1.8607	0.0115	0.7116	2.1786	0.9046	
38.50	0.3397	2.4489	1.7149	0.0115	0.7095	2.1813	0.9104	
39.00	0.3449	2.4488	1.7592	0.0115	0.7076	2.1841	0.9138	
39.50	0.3500	2.4484	1.8252	0.0114	0.7058	2.1868	0.9163	
40.00	0.3555	2.4478	1.8987	0.0114	0.7035	2.1896	0.9212	
40.50	0.3602	2.4476	1.6252	0.0114	0.7028	2.1924	0.9246	
41.00	0.3631	2.4489	1.6908	0.0114	0.7054	2.1952	0.9238	
41.50	0.3650	2.4496	1.7585	0.0115	0.7097	2.1980	0.9215	
42.00	0.3666	2.4505	1.8213	0.0116	0.7142	2.2007	0.9191	
42.50	0.3684	2.4511	1.8815	0.0116	0.7182	2.2034	0.9170	
43.00	0.3705	2.4515	1.7872	0.0117	0.7220	2.2061	0.9152	
43.50	0.3726	2.4524	1.8194	0.0118	0.7258	2.2087	0.9121	
44.00	0.3747	2.4545	1.6700	0.0118	0.7295	2.2113	0.9076	
44.50	0.3768	2.4554	1.5910	0.0119	0.7327	2.2138	0.9038	
45.00	0.3788	2.4552	1.5451	0.0119	0.7362	2.2163	0.8998	
45.50	0.3803	2.4545	1.7889	0.0120	0.7403	2.2188	0.8944	
46.00	0.3817	2.4540	1.9000	0.0121	0.7452	2.2212	0.8880	
46.50	0.3813	2.4535	1.9591	0.0122	0.7530	2.2236	0.8761	
47.00	0.3811	2.4524	1.7493	0.0124	0.7607	2.2259	0.8645	
